date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:01	13999/13999	---M--	200	added ('OK')	text/javascript	date:Fri,%2021%20Oct%202022%2007:17:55%20GMT	https://www.youtube.com/s/desktop/41dc17d1/jsbin/network.vflset/network.js	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/s/desktop/41dc17d1/jsbin/network.vflset/network.js	(from https://www.youtube.com/)
11:35:02	4096/4096	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Oct%202022%2007:17:55%20GMT	https://www.youtube.com/s/desktop/41dc17d1/cssbin/www-main-desktop-home-page-skeleton.css	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/s/desktop/41dc17d1/cssbin/www-main-desktop-home-page-skeleton.css	(from https://www.youtube.com/)
11:35:02	841/841	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Oct%202022%2007:17:55%20GMT	https://www.youtube.com/s/desktop/41dc17d1/cssbin/www-onepick.css	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/s/desktop/41dc17d1/cssbin/www-onepick.css	(from https://www.youtube.com/)
11:35:03	68330/68330	---M--	200	added ('OK')	text/css	date:Thu,%2020%20Oct%202022%2019:20:24%20GMT	https://www.youtube.com/s/_/ytmainappweb/_/ss/k=ytmainappweb.kevlar_base.7PnaLG_8FrI.L.X.O/am=AAE/d=0/rs=AGKMywGAcIkK-SjPFW4hZpiMU6SnnRzq8A	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/s/_/ytmainappweb/_/ss/k=ytmainappweb.kevlar_base.7PnaLG_8FrI.L.X.O/am=AAE/d=0/rs=AGKMywGAcIkK-SjPFW4hZpiMU6SnnRzq8A.css	(from https://www.youtube.com/)
11:35:04	540/540	---MCZ	200	added ('OK')	application/opensearchdescription+xml	date:Sun,%2023%20Oct%202022%2006:04:49%20GMT	https://www.youtube.com/opensearch?locale=en_US	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/opensearch97fa	(from https://www.youtube.com/)
11:35:04	1586/1586	---MC-	200	added ('OK')	application/manifest+json	date:Sun,%2023%20Oct%202022%2006:04:50%20GMT	https://www.youtube.com/manifest.webmanifest	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/manifest.webmanifest	(from https://www.youtube.com/)
11:35:09	32103/32103	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Oct%202022%2006:04:51%20GMT	https://www.youtube.com/t/terms	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/t/terms.html	(from https://www.youtube.com/)
11:35:09	219/219	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Oct%202022%2005:36:49%20GMT	https://www.youtube.com/about/	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/about/index.html	(from https://www.youtube.com/)
11:35:09	218/218	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Oct%202022%2005:49:12%20GMT	https://www.youtube.com/about/press/	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/about/press/index.html	(from https://www.youtube.com/)
11:35:09	256/256	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Oct%202022%2005:59:10%20GMT	https://www.youtube.com/about/copyright/	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/about/copyright/index.html	(from https://www.youtube.com/)
11:35:09	6579/6579	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Oct%202022%2006:04:55%20GMT	https://www.youtube.com/t/contact_us/	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/t/contact_us/index.html	(from https://www.youtube.com/)
11:35:10	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Sun,%2023%20Oct%202022%2006:04:55%20GMT	https://www.youtube.com/t/privacy	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/t/privacy.15.delayed	(from https://www.youtube.com/)
11:35:10	68124/68124	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Oct%202022%2006:04:56%20GMT	https://www.youtube.com/ads/	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/ads/index.html	(from https://www.youtube.com/)
11:35:10	180516/180516	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Oct%202022%2006:04:55%20GMT	https://www.youtube.com/creators/	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/creators/index.html	(from https://www.youtube.com/)
11:35:10	267/267	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Oct%202022%2005:46:39%20GMT	https://www.youtube.com/about/policies/	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/about/policies/index.html	(from https://www.youtube.com/)
11:35:10	439/439	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Oct%202022%2005:49:13%20GMT	https://www.youtube.com/howyoutubeworks?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen	C:/My%20Web%20Sites/YT%20Copy/www.youtube.com/howyoutubeworks.16d320.delayed	(from https://www.youtube.com/)
